Instances,No Rotation No SB,No Rotation SB,Rotation No SB,Rotation SB
Instance 1,0.0050420761108398,0.0030107498168945,0.0,0.0316390991210937
Instance 2,0.0061385631561279,0.0020053386688232,0.0,0.0156276226043701
Instance 3,0.0020067691802978,0.0030097961425781,0.0,0.0156266689300537
Instance 4,0.0030107498168945,0.0938091278076171,0.0781316757202148,0.0
Instance 5,0.0070228576660156,0.0657198429107666,0.6273977756500244,0.1410367488861084
Instance 6,0.0210700035095214,0.0807693004608154,0.6902036666870117,0.2351806163787841
Instance 7,0.1163911819458007,0.11588716506958,0.4600234031677246,0.0392625331878662
Instance 8,0.0210685729980468,0.1078596115112304,0.6600029468536377,0.0645146369934082
Instance 9,0.2086875438690185,0.1394641399383545,0.9127309322357178,0.0941534042358398
Instance 10,0.0988311767578125,0.0346169471740722,2.1298375129699707,1.1615355014801023
Instance 11,56.751622676849365,1.3249104022979736,12.748971462249756,74.90791940689087
Instance 12,0.3225607872009277,0.448495864868164,9.794036865234377,2.288393974304199
Instance 13,0.3993217945098877,0.7575433254241943,9.03856110572815,3.553351402282715
Instance 14,1.9906461238861084,2.793382406234741,46.01097869873047,124.16068744659424
Instance 15,1.4473321437835691,1.891813039779663,64.90128517150879,0.8729681968688965
Instance 16,275.5759572982788,18.134488344192505,143.3487958908081,108.0128574371338
Instance 17,5.425567865371704,73.29248285293579,46.40424203872681,88.98415994644165
Instance 18,189.7562000751496,110.23740816116332,201.96744084358207,56.13554835319519
Instance 19,216.71173334121704,300.0046753883362,300.0355746746063,300.0231010913849
Instance 20,14.189364671707152,160.53393125534058,300.0122013092041,300.012158870697
Instance 21,181.8959684371948,32.19396471977234,300.01688861846924,300.00627756118774
Instance 22,300.0503349304199,300.0057351589203,300.01470470428467,300.006334066391
Instance 23,25.720824718475345,149.59149551391602,41.706753969192505,300.00282621383667
Instance 24,41.51127219200134,2.180384397506714,77.37809872627258,4.465325117111206
Instance 25,300.0905544757843,300.0094337463379,300.01099705696106,300.00316643714905
Instance 26,300.0146107673645,300.00432658195496,300.0138623714447,46.76664590835571
Instance 27,30.096637964248657,3.9876861572265625,300.00448989868164,82.41909432411194
Instance 28,6.119665861129761,10.652772188186646,300.00972175598145,300.0125217437744
Instance 29,17.18037438392639,17.85415244102478,44.1292245388031,300.0084044933319
Instance 30,300.0161917209625,300.0194320678711,300.0269796848297,300.0056059360504
Instance 31,21.822673559188843,42.10747313499451,9.89941120147705,9.02121376991272
Instance 32,300.01269459724426,300.0056712627411,300.0058784484863,300.02431201934814
Instance 33,9.879970073699951,3.859630107879639,47.038825035095215,5.1114723682403564
Instance 34,300.0206401348114,158.18191647529602,300.0057010650635,300.014493227005
Instance 35,300.0085334777832,300.0011897087097,46.44323205947876,300.0067548751831
Instance 36,300.0063261985779,81.8318703174591,58.70144557952881,223.9976966381073
Instance 37,300.0127441883087,300.0188603401184,300.0273303985596,300.00076174736023
Instance 38,300.03020453453064,300.00760674476624,300.0246901512146,300.01357221603394
Instance 39,300.00600004196167,300.0136308670044,300.00201201438904,300.02048921585083
Instance 40,300.31890535354614,300.0256679058075,300.05403900146484,300.02233123779297
