Instances,No Rotation No SB,No Rotation SB,Rotation No SB,Rotation SB
Instance 1,0.401929378509522,0.399278402328491,0.415719032287598,0.404330015182495
Instance 2,0.230267763137817,0.205461502075195,0.286375999450684,0.249145746231079
Instance 3,0.315368413925171,0.262520313262939,0.380147218704224,0.354728221893311
Instance 4,0.45488429069519,0.336771249771118,0.514365673065185,0.500883340835571
Instance 5,0.50551700592041,0.353424549102783,0.693429231643677,0.591670513153076
Instance 6,0.532703638076782,0.438128709793091,0.865267753601074,0.943651914596558
Instance 7,0.518224716186523,0.438896656036377,0.939073801040649,0.848769187927246
Instance 8,0.675881862640381,0.506953716278076,1.2101035118103,1.23321342468262
Instance 9,0.848153114318848,0.606265783309937,1.39550590515137,1.33744597434998
Instance 10,0.899473428726196,0.808274030685425,5.32392191886902,1.92568230628967
Instance 11,2.36071133613586,4.33922576904297,5.52007699012756,14.4110803604126
Instance 12,1.90279793739319,1.23943114280701,2.82131409645081,2.92195701599121
Instance 13,1.6495840549469,1.40375685691834,3.68981862068176,2.71633410453796
Instance 14,1.83206748962402,1.61622714996338,7.64391589164734,3.42319798469543
Instance 15,2.03184771537781,1.6534206867218,5.77102637290955,3.83350133895874
Instance 16,8.46895933151245,12.0886957645416,50.1686301231384,17.7028543949127
Instance 17,2.94401025772095,10.4667599201202,175.675169944763,8.16508984565735
Instance 18,4.70379757881165,3.3041398525238,63.2937548160553,6.29476189613342
Instance 19,9.59113836288452,9.06994938850403,21.1444439888,20.783723115921
Instance 20,7.92480373382568,5.28297066688538,73.1106450557709,8.4013135433197
Instance 21,14.4438238143921,16.4501144886017,13.834716796875,29.2581470012665
Instance 22,10.1772656440735,87.3247272968292,53.0214903354645,-
Instance 23,6.42136406898499,9.42116189002991,78.6714324951172,62.692617893219
Instance 24,3.76234817504883,9.09532070159912,21.9625289440155,8.08030104637146
Instance 25,15.3786702156067,47.2474665641785,-,150.101879358292
Instance 26,6.26306462287903,18.1040153503418,88.192054271698,30.2065131664276
Instance 27,4.81183075904846,5.09708571434021,13.5237684249878,45.3190984725952
Instance 28,23.3951137065887,7.59209752082825,180.755179405212,161.074991703033
Instance 29,26.488085269928,8.47974753379822,73.8209416866303,13.9088869094849
Instance 30,44.1962604522705,120.17629814148,-,234.639315843582
Instance 31,4.50525307655335,4.27448010444641,58.8703894615173,15.3269345760345
Instance 32,50.6916160583496,-,-,-
Instance 33,13.8852105140686,5.30568265914917,50.1383800506592,52.5273954868317
Instance 34,11.6510355472565,24.4533696174622,15.0271954536438,14.5851430892944
Instance 35,17.0156428813934,5.35803580284119,19.0873289108276,23.0901298522949
Instance 36,5.62345862388611,10.0183725357056,15.3669922351837,12.7965223789215
Instance 37,25.7673470973968,115.835116147995,-,-
Instance 38,-,-,-,136.543694019318
Instance 39,18.5822024345398,28.8120336532593,164.884300947189,311.416033744812
Instance 40,-,-,-,-
