Instances,Rotation SB,Rotation No SB,No Rotation No SB,No Rotation SB
Instance 1,0.3485116958618164,0.3235611915588379,0.3652684688568115,0.35561180114746094
Instance 2,0.17375469207763672,0.16760873794555664,0.1808476448059082,0.23511934280395508
Instance 3,0.24158501625061035,0.21689724922180176,0.18684029579162598,0.1865859031677246
Instance 4,0.26202940940856934,0.24744462966918945,0.2053532600402832,0.20660090446472168
Instance 5,1.2153842449188232,0.39175844192504883,0.22472715377807617,0.22557377815246582
Instance 6,0.5640544891357422,1.0013375282287598,0.23494410514831543,0.27702903747558594
Instance 7,1.288909912109375,0.6768691539764404,0.24588942527770996,0.26160693168640137
Instance 8,0.5008301734924316,0.31911158561706543,0.2752389907836914,0.28679919242858887
Instance 9,0.741919755935669,2.353245973587036,0.29563474655151367,0.2773470878601074
Instance 10,4.845695734024048,2.8422296047210693,0.3233613967895508,0.32816481590270996
Instance 11,197.74975156784058,46.54344415664673,3.320246696472168,4.286640644073486
Instance 12,67.18602228164673,12.616276741027832,0.8053264617919922,0.641080379486084
Instance 13,7.185024261474609,4.477608680725098,0.5643699169158936,0.4642496109008789
Instance 14,30.75077223777771,4.8929831981658936,0.5947756767272949,0.6932291984558105
Instance 15,122.24543571472168,36.658092975616455,0.5782003402709961,0.5885553359985352
Instance 16,-,-,20.880549430847168,4.342422962188721
Instance 17,14.303312301635742,-,1.2114615440368652,0.8676886558532715
Instance 18,-,-,4.549196720123291,2.6882007122039795
Instance 19,91.54015231132507,-,20.563313722610474,31.492252111434937
Instance 20,-,-,17.811925411224365,1.5049195289611816
Instance 21,-,-,1.0380680561065674,3.523953437805176
Instance 22,-,-,45.121660470962524,55.97240328788757
Instance 23,-,-,1.8170695304870605,3.424063205718994
Instance 24,127.97286772727966,39.57814693450928,0.8009562492370605,1.4510786533355713
Instance 25,-,-,62.19259452819824,76.94015145301819
Instance 26,88.64561867713928,-,15.574678421020508,26.730060577392578
Instance 27,-,-,2.869145154953003,1.9535791873931885
Instance 28,-,-,21.086461782455444,13.373931407928467
Instance 29,-,63.51642060279846,1.645608901977539,17.632564306259155
Instance 30,-,-,122.75712895393372,201.89788961410522
Instance 31,21.174068927764893,123.29347062110901,1.8898110389709473,0.9060449600219727
Instance 32,-,-,-,-
Instance 33,93.33585357666016,-,3.5515542030334473,1.4737918376922607
Instance 34,260.75916743278503,56.149028062820435,209.36988592147827,72.06553721427917
Instance 35,73.70471501350403,21.7071373462677,69.85439109802246,31.47013831138611
Instance 36,89.52209877967834,16.75125765800476,35.29386639595032,39.22260093688965
Instance 37,-,-,106.33972835540771,-
Instance 38,-,-,-,-
Instance 39,-,-,-,-
Instance 40,-,-,-,-
